brand,model,price,year,fuel,milage,transmissionType,engineCapacity,enginePower
"abarth","500",79000,2010,"petrol",77000,"manual",1368,230
"abarth","grande punto",24000,2009,"petrol",216000,"manual",1368,155
"abarth","595",57000,2016,"petrol",130100,"manual",1368,145
"abarth","595",69900,2015,"petrol",24000,"automatic",1368,160
"abarth","500 595 1.4 t-jet 16v turismo",72000,2019,"petrol",58000,"manual",1368,165
"abarth","595",89900,2021,"petrol",54306,"manual",1368,165
"abarth","500",22900,2009,"petrol",158000,"manual",1400,140
"abarth","595",84900,2019,"petrol",27600,"manual",1368,145
"abarth","595",66550,2017,"petrol",68500,"automatic",1368,175
"abarth","500",114900,2023,"petrol",16500,"automatic",1368,180
"abarth","500",114900,2023,"petrol",27600,"automatic",1368,180
"abarth","595",74999,2016,"petrol",134500,"manual",1368,180
"abarth","500 595 1.4 t-jet 16v turismo",38999,2018,"petrol",80000,"manual",1368,165
"abarth","595",67900,2014,"petrol",129000,"manual",1368,160
"abarth","500 595 1.4 t-jet 16v",51660,2017,"petrol",83610,"manual",1368,165
"abarth","500 595 1.4 t-jet 16v elaborabile",42900,2018,"petrol",108000,"manual",1368,145
"abarth","grande punto",25800,2008,"petrol",199200,"manual",1368,155
"abarth","595",57900,2016,"petrol",102301,"manual",1368,145
"abarth","500 595 1.4 t-jet 16v",85000,2022,"petrol",14000,"manual",1368,145
"abarth","500 595 1.4 t-jet 16v",79900,2017,"petrol",20737,"manual",1368,145
"abarth","695",109900,2023,"petrol",15000,"automatic",1368,180
"abarth","500",31900,2008,"petrol",134000,"manual",1368,134
"abarth","595",134070,2021,"petrol",21500,"manual",1368,180
"abarth","grande punto",27900,2010,"petrol",202000,"manual",1368,180
"abarth","punto evo",35900,2012,"petrol",207000,"manual",1368,165
"abarth","500 595 1.4 t-jet 16v scorpioneoro",39000,2017,"petrol",68900,"manual",1368,165
"abarth","595",79900,2020,"petrol",72600,"manual",1395,179
"abarth","500",79000,2010,"petrol",77000,"manual",1368,230
"abarth","grande punto",24000,2009,"petrol",216000,"manual",1368,155
"abarth","595",57000,2016,"petrol",130100,"manual",1368,145
